Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
1;1970-1994;1970;kunststof, textiel, metaal;42;36;4;H 42 X B 36 X D 4,0 cm.
1;1970-1994;1970;textiel, kleurstof;43;35;1;H 43 X B 35 X D 1,0  cm.
1;1970-1994;1970;textiel, kleurstof;39;38;1;H 39 X B 38 X D 1,0  cm.
1;1940-1943;1940;tuigleer, metaal, textiel;36;42;10;H 36 X B 42 X D 10 cm.
1;1940-1950;1940;leer, metaal, textiel;35;43;9;H 35 X B 43 X D 9,0 cm.
2;1970-1980;1970;leer, metaal, textiel;45;43;7;H 45 X B 43 X D 7,0 cm.
2;1950-1970;1950;leer, metaal, textiel;25;32;4;H 25 X B 32 X D 4,0 cm.
1;ca. 1957;1957;leer, metaal, textiel;33;32;4;H 33 X B 32 X D 4,0 cm.
1;1940-1970;1940;leer, metaal, textiel;34;41;6;H 34 X B 41 X D 6,0 cm.
1;ca. 1977;1977;kunststof, reflector, metaal, kleurstof;28;32;9;H 28 X B 32 X D 9,0 cm.
1;1970-1994;1970;leer, metaal;40;25;5;H 40 X B 25 X D 5,0 cm.
1;1970-1990;1970;leer, metaal, verfstof;20;4;1;H 20 X B 4,0 X D 1,0 cm.
1;1970-1990;1970;leer, kunststof, verfstof;36;4.5;0.5;H 36 X B 4,5 X D 0,5 cm.
1;1970-1990;1970;leer, kunststof, verfstof;38;4.5;0.5;H 38 X B 4,5 X D 0,5 cm.
1;1960-1990;1960;metaal;8;6;2.5;H 8,0 X B 6,0 X D 2,5 cm.
1;1960-1990;1960;metaal;6;6;2.5;H 6,0 X B 6,0 X D 2,5 cm.
1;1960-1990;1960;metaal;5;5;2;H 5,0 X B 5,0 X D 2,0 cm.
1;1960-1990;1960;metaal;6;6;1.5;H 6,0 X B 6,0 X D 1,5 cm.
1;1960-1990;1960;metaal, leer;4.5;2.5;1;H 4,5 X B 2,5 X D 1,0 cm.
1;1930-1990;1930;metaal;6;6;2;H 6,0 X B 6,0 X D 2,0 cm.
1;1970-1999;1970;leer;14;5;0.5;H 14 X B 5,0 X D 0,5 cm.
1;1950-1980;1950;messing;5.5;2;0.5;H 5,5 X B 1,0 X D 0,5 cm.
1;1970-1999;1970;kunststof;8;5;1.5;H 8,0 X B 5,0 X D 1,5 cm.
1;1950-1970;1950;leer, metaal, textiel;41;33;7;H 41 X B 33 X D 7,0 cm.
2;1980-1999;1980;kunststof, kleurstof;44;36;0.5;H 44 X B 36 X D 0,5 cm.
2;1980-1999;1980;kunststof, kleurstof;44;36;0.5;H 44 X B 36 X D 0,5 cm.
1;1980-1999;1980;linnen, kleurstof;55;37;0.5;H 55 X B 37 X D 0,5 cm.
